DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P51;P771;P772;P773;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S9A2;P779S14;P780;P780S2;P780S2A1;P780S3;P780S3A1;P780S4;P780S4A1;FEX_C
7120002;8;1;8;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;306,477351890009
7120010;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;4;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;335,348576826589
7120018;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;323,663503087984
7120023;4;1;4;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;369,417578046472
7120024;3;1;3;1; ; ;2;1;2;666;3000; ;1;4; ; ; ;2; ;2;60;4; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;378,426713441246
7120024;4;1;4;1; ; ;2;1;2;666;3000; ;1;4; ; ; ;2; ;2;60;4; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;378,426713441246
7120033;3;1;3;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;156,240230973519
7120035;3;1;3;2;2;5; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;123,963524060454
7120041;5;1;5;1; ; ;3;1;3; ; ;4000;1;3; ; ;4000;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;1; ; ;1;3; ; ; ; ; ; ; ; ;2; ;2; ;2; ;191,45313006675
7120070;2;1;2;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;3; ; ;1;2;1;1; ; ; ; ;1;2;1;1;1;1; ; ; ; ; ; ;2; ;1;2;2; ;13,0784321222116
7120076;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ;1;1;1;2;1;2;1;2; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;15,2227972401395
7120085;3;1;3;4;1;4; ;1;4; ; ; ;1;4; ; ; ;2; ;2;30;4; ;1;1; ; ; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;22,1977864716587
7121640;3;1;3;5;2;6; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;163,312665010113
7121643;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;327,156331796352
7121646;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;2;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;275,884445053418
7121648;8;1;8;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ;1;1; ; ; ; ;1;1; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;2;2; ;1;2;372,55521141448
7121649;3;1;3;1; ; ;1;1;3; ; ;10000;1;3; ; ;2000;1;2; ; ; ; ; ; ;1;2; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;196,221812596428
7121653;6;1;6;1; ; ;2;1;3; ; ;3000;1;3; ; ;2000;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;393,463662284139
7121653;7;1;7;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;393,463662284139
7121659;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;181,650051257015
